序号,来源,动作编码,动作名称,器械,原始一级分类,原始子分类,实际一级分类,实际二级肌肉,实际三级肌区,用户可见路径,主动肌区,协同肌区,可疑提示,审核结论,建议一级分类,建议二级肌肉,建议三级肌区,建议器械,审核备注
741,imported,WEIGHTED_NECK_CURL,负重颈弯举,自重,颈部,,颈部,颈部肌,,颈部 > 颈部肌,neck,,,,,,,,
742,imported,INCLINE_WEIGHTED_NECK_EXT,上斜负重头后仰,自重,颈部,,颈部,颈部肌,,颈部 > 颈部肌,neck,,,,,,,,
743,imported,INCLINE_WEIGHTED_NECK_CURL,上斜负重颈弯举,自重,颈部,,颈部,颈部肌,,颈部 > 颈部肌,neck,,,,,,,,
744,imported,STANDING_WEIGHTED_NECK_EXT,站姿负重头后仰,自重,颈部,,颈部,颈部肌,,颈部 > 颈部肌,neck,,,,,,,,
745,imported,CABLE_NECK_EXT,绳索头后仰,绳索,颈部,,颈部,颈部肌,,颈部 > 颈部肌,neck,,,,,,,,
746,imported,CABLE_NECK_CURL,绳索颈弯举,绳索,颈部,,颈部,颈部肌,,颈部 > 颈部肌,neck,,,,,,,,
747,imported,KNEELING_NECK_EXT,跪姿头后仰,自重,颈部,,颈部,颈部肌,,颈部 > 颈部肌,neck,,,,,,,,
748,imported,LYING_NECK_EXT,平躺头后仰,自重,颈部,,颈部,颈部肌,,颈部 > 颈部肌,neck,,,,,,,,
749,imported,HANDS_HEAD_NECK_EXT,抱头后仰,自重,颈部,,颈部,颈部肌,,颈部 > 颈部肌,neck,,,,,,,,
750,imported,BEHIND_NECK_PULLDOWN,颈后下拉,自重,颈部,,颈部,颈部肌,,颈部 > 颈部肌,neck,,,,,,,,
751,imported,WIDE_BTN_PULL_UP,宽握颈后引体向上,自重,颈部,,颈部,颈部肌,,颈部 > 颈部肌,neck,,,,,,,,
752,imported,DB_SINGLE_ARM_OVERHEAD_EXT,坐姿单臂哑铃颈后臂屈伸,哑铃,颈部,,颈部,颈部肌,,颈部 > 颈部肌,neck,,,,,,,,
753,imported,SEATED_WEIGHTED_NECK_EXT,坐姿负重头后仰,自重,颈部,,颈部,颈部肌,,颈部 > 颈部肌,neck,,,,,,,,
754,imported,WEIGHTED_LYING_NECK_FLEXION,负重仰卧颈部屈曲,自重,颈部,,颈部,颈部肌,,颈部 > 颈部肌,neck,,,,,,,,
755,imported,MACHINE_NECK_LATERAL_FLEXION,器械颈部右侧屈,器械,颈部,,颈部,颈部肌,,颈部 > 颈部肌,neck,,,,,,,,
756,imported,SEATED_NECK_FLEXION,坐姿颈部屈伸,自重,颈部,,颈部,颈部肌,,颈部 > 颈部肌,neck,,,,,,,,
